"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-133.37","62.21","FARO A","2100527","2018-04-01 00:00","2018","04","01","00:00","-8.2","","-17.6","","47","","","M","30","","13","","","M","94.19","","","","-14","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 01:00","2018","04","01","01:00","-9.1","","-17.6","","50","","","M","30","","12","","","M","94.18","","","","-15","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 02:00","2018","04","01","02:00","-10.8","","-18.1","","55","","","M","30","","9","","","M","94.15","","","","-16","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 03:00","2018","04","01","03:00","-12.4","","-18.8","","59","","","M","35","","7","","","M","94.10","","","","-17","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 04:00","2018","04","01","04:00","-13.7","","-18.9","","65","","","M","36","","2","","","M","94.06","","","","-15","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 05:00","2018","04","01","05:00","-17.0","","-21.1","","71","","","M","34","","3","","","M","94.00","","","","-19","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 06:00","2018","04","01","06:00","-17.7","","-21.1","","75","","","M","11","","2","","","M","93.93","","","","-19","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 07:00","2018","04","01","07:00","-16.8","","-20.0","","76","","","M","16","","4","","","M","93.85","","","","-20","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 08:00","2018","04","01","08:00","-16.4","","-20.4","","72","","","M","16","","6","","","M","93.80","","","","-21","","NA"
"-133.37","62.21","FARO A","2100527","2018-04-01 09:00","2018","04","01","09:00","-14.8","","-20.0","","65","","","M","10","","3","","","M","93.77","","","","-17","","NA"
