"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 00:00","2019","03","01","00:00","-11.6","","-13.5","","86","","","M","25","","45","","","M","98.51","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 01:00","2019","03","01","01:00","-11.1","","-13.1","","86","","","M","25","","39","","","M","98.61","","","","-22","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 02:00","2019","03","01","02:00","-10.8","","-12.7","","86","","","M","26","","37","","","M","98.63","","","","-21","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 03:00","2019","03","01","03:00","-10.6","","-12.4","","87","","","M","25","","38","","","M","98.62","","","","-21","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 04:00","2019","03","01","04:00","-10.7","","-12.6","","87","","","M","25","","37","","","M","98.66","","","","-21","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 05:00","2019","03","01","05:00","-10.7","","-12.5","","87","","","M","24","","34","","","M","98.68","","","","-21","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 06:00","2019","03","01","06:00","-11.0","","-13.0","","85","","","M","25","","30","","","M","98.73","","","","-21","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 07:00","2019","03","01","07:00","-11.1","","-13.2","","84","","","M","26","","36","","","M","98.76","","","","-22","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 08:00","2019","03","01","08:00","-11.6","","-14.0","","83","","","M","26","","44","","","M","98.82","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 09:00","2019","03","01","09:00","-12.5","","-14.9","","82","","","M","27","","45","","","M","98.87","","","","-25","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 10:00","2019","03","01","10:00","-12.6","","-15.2","","81","","","M","26","","41","","","M","98.89","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 11:00","2019","03","01","11:00","-12.7","","-15.2","","82","","","M","24","","45","","","M","98.84","","","","-25","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 12:00","2019","03","01","12:00","-12.4","","-14.8","","82","","","M","25","","43","","","M","98.82","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 13:00","2019","03","01","13:00","-11.7","","-14.3","","81","","","M","26","","48","","","M","98.76","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 14:00","2019","03","01","14:00","-11.4","","-14.0","","81","","","M","26","","47","","","M","98.78","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 15:00","2019","03","01","15:00","-11.4","","-14.0","","82","","","M","27","","54","","","M","98.82","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 16:00","2019","03","01","16:00","-11.6","","-14.1","","82","","","M","26","","52","","","M","98.91","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 17:00","2019","03","01","17:00","-11.6","","-14.1","","82","","","M","26","","59","","","M","98.90","","","","-25","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 18:00","2019","03","01","18:00","-11.1","","-14.0","","80","","","M","25","","54","","","M","98.97","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 19:00","2019","03","01","19:00","-11.5","","-14.3","","80","","","M","24","","40","","","M","99.07","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 20:00","2019","03","01","20:00","-11.6","","-14.4","","80","","","M","26","","44","","","M","99.12","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 21:00","2019","03","01","21:00","-11.5","","-14.8","","77","","","M","27","","40","","","M","99.18","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 22:00","2019","03","01","22:00","-11.6","","-15.1","","75","","","M","27","","44","","","M","99.19","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-01 23:00","2019","03","01","23:00","-11.5","","-15.4","","73","","","M","27","","43","","","M","99.23","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-02 00:00","2019","03","02","00:00","-11.2","","-15.0","","74","","","M","28","","46","","","M","99.26","","","","-23","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-02 01:00","2019","03","02","01:00","-11.5","","-15.0","","76","","","M","28","","52","","","M","99.30","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-02 02:00","2019","03","02","02:00","-12.4","","-15.6","","77","","","M","26","","42","","","M","99.33","","","","-24","","NA"
"-59.19","55.08","MAKKOVIK A","8502580","2019-03-02 03:00","2019","03","02","03:00","-12.7","","-15.1","","83","","","M","27","","37","","","M","99.37","","","","-24","","NA"
