"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 00:00","2019","02","01","00:00","-14.3","","-16.1","","87","","0.0","","2","","18","","","","","M","","","-23","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 01:00","2019","02","01","01:00","-15.4","","-17.2","","86","","0.6","","3","","18","","","","","M","","","-24","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 02:00","2019","02","01","02:00","-16.2","","-17.8","","88","","0.5","","1","","14","","","","","M","","","-24","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 03:00","2019","02","01","03:00","-16.5","","-18.0","","88","","0.0","","1","","10","","","","","M","","","-23","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 04:00","2019","02","01","04:00","-16.9","","-18.7","","86","","0.5","","1","","13","","","","","M","","","-25","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 05:00","2019","02","01","05:00","-17.1","","-18.9","","86","","0.5","","2","","13","","","","","M","","","-25","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 06:00","2019","02","01","06:00","-17.6","","-19.5","","85","","0.5","","8","","16","","","","","M","","","-26","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 07:00","2019","02","01","07:00","-18.2","","-20.2","","84","","0.5","","8","","13","","","","","M","","","-26","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 08:00","2019","02","01","08:00","-18.5","","-20.6","","83","","0.4","","8","","12","","","","","M","","","-26","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 09:00","2019","02","01","09:00","-18.8","","-21.0","","83","","0.6","","8","","15","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 10:00","2019","02","01","10:00","-18.9","","-21.0","","83","","0.6","","5","","12","","","","","M","","","-27","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 11:00","2019","02","01","11:00","-18.9","","-21.3","","82","","0.4","","7","","16","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 12:00","2019","02","01","12:00","-18.8","","-21.2","","81","","0.0","","8","","17","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 13:00","2019","02","01","13:00","-18.8","","-21.2","","82","","0.6","","7","","18","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 14:00","2019","02","01","14:00","-18.9","","-21.5","","80","","0.0","","7","","17","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 15:00","2019","02","01","15:00","-18.9","","-21.3","","81","","0.0","","7","","16","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 16:00","2019","02","01","16:00","-19.1","","-21.6","","81","","0.0","","7","","18","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 17:00","2019","02","01","17:00","-19.3","","-21.4","","83","","0.0","","8","","15","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 18:00","2019","02","01","18:00","-19.5","","-21.5","","84","","0.0","","8","","14","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 19:00","2019","02","01","19:00","-19.6","","-21.6","","84","","0.4","","8","","17","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 20:00","2019","02","01","20:00","-19.7","","-21.7","","85","","0.0","","7","","16","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 21:00","2019","02","01","21:00","-19.8","","-21.7","","85","","0.0","","6","","15","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 22:00","2019","02","01","22:00","-20.0","","-22.0","","85","","0.0","","7","","13","","","","","M","","","-28","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-01 23:00","2019","02","01","23:00","-20.3","","-22.3","","84","","0.0","","7","","13","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-02 00:00","2019","02","02","00:00","-20.3","","-22.4","","83","","0.0","","8","","15","","","","","M","","","-29","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-02 01:00","2019","02","02","01:00","-20.8","","-23.0","","83","","0.0","","7","","15","","","","","M","","","-30","","NA"
"-115.89","53.62","CARROT CREEK","3061350","2019-02-02 02:00","2019","02","02","02:00","-21.1","","-23.5","","81","","0.0","","6","","14","","","","","M","","","-30","","NA"
