"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 00:00","2018","04","01","00:00","-4.0","","-7.3","","78","","0.0","","28","","2","","","","101.58","","","","-5","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 01:00","2018","04","01","01:00","-4.4","","-7.2","","81","","0.0","","29","","5","","","","101.64","","","","-7","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 02:00","2018","04","01","02:00","-4.2","","-7.6","","77","","0.0","","27","","5","","","","101.73","","","","-6","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 03:00","2018","04","01","03:00","-5.2","","-7.0","","87","","0.0","","28","","5","","","","101.76","","","","-7","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 04:00","2018","04","01","04:00","-4.8","","-6.5","","88","","0.0","","27","","5","","","","101.76","","","","-7","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 05:00","2018","04","01","05:00","-4.3","","-6.0","","88","","0.0","","28","","4","","","","101.74","","","","-6","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 06:00","2018","04","01","06:00","-4.3","","-5.7","","90","","0.0","","27","","3","","","","101.76","","","","-6","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 07:00","2018","04","01","07:00","-1.8","","-3.6","","87","","0.0","","25","","5","","","","101.74","","","","-4","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 08:00","2018","04","01","08:00","2.2","","-2.4","","72","","0.0","","24","","7","","","","101.68","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 09:00","2018","04","01","09:00","4.1","","-2.7","","61","","0.0","","23","","11","","","","101.63","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 10:00","2018","04","01","10:00","4.0","","-0.6","","72","","0.0","","22","","15","","","","101.59","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 11:00","2018","04","01","11:00","4.2","","-0.5","","72","","0.1","","23","","19","","","","101.51","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 12:00","2018","04","01","12:00","4.2","","-0.4","","72","","0.0","","23","","18","","","","101.43","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 13:00","2018","04","01","13:00","5.0","","0.7","","74","","0.0","","22","","18","","","","101.31","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 14:00","2018","04","01","14:00","3.9","","0.2","","77","","0.0","","23","","13","","","","101.20","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 15:00","2018","04","01","15:00","3.7","","0.8","","82","","0.0","","23","","11","","","","101.04","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 16:00","2018","04","01","16:00","3.9","","1.3","","83","","0.0","","23","","17","","","","100.90","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 17:00","2018","04","01","17:00","3.9","","1.7","","85","","0.0","","22","","16","","","","100.78","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 18:00","2018","04","01","18:00","3.8","","2.3","","90","","0.1","","25","","12","","","","100.68","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 19:00","2018","04","01","19:00","4.2","","2.5","","89","","0.3","","24","","15","","","","100.61","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 20:00","2018","04","01","20:00","3.7","","3.1","","95","","0.4","","24","","12","","","","100.53","","","","","","NA"
"-59.97","45.92","LOUISBOURG","8203163","2018-04-01 21:00","2018","04","01","21:00","4.5","","4.0","","96","","0.0","","25","","18","","","","100.52","","","","","","NA"
