"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 00:00","2012","02","01","00:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 01:00","2012","02","01","01:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 02:00","2012","02","01","02:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 03:00","2012","02","01","03:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 04:00","2012","02","01","04:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 05:00","2012","02","01","05:00"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 06:00","2012","02","01","06:00","-8.2","","-11.9","","75","","","","34","","11","","24.1","","102.05","","","","-13","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 07:00","2012","02","01","07:00","-8.2","","-11.4","","78","","","","35","","4","","24.1","","102.07","","","","-10","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 08:00","2012","02","01","08:00","-8.4","","-11.2","","80","","","","8","","4","","32.2","","102.04","","","","-11","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 09:00","2012","02","01","09:00","-7.8","","-10.7","","80","","","","3","","7","","32.2","","102.08","","","","-11","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 10:00","2012","02","01","10:00","-7.6","","-11.1","","76","","","","2","","4","","32.2","","102.08","","","","-10","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 11:00","2012","02","01","11:00","-7.3","","-10.9","","75","","","","6","","9","","32.2","","101.97","","","","-12","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 12:00","2012","02","01","12:00","-7.3","","-10.9","","75","","","","10","","11","","32.2","","101.86","","","","-12","","Mostly Cloudy"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 13:00","2012","02","01","13:00","-7.1","","-10.3","","78","","","","9","","11","","4.8","","101.81","","","","-12","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 14:00","2012","02","01","14:00","-7.2","","-8.8","","88","","","","9","","19","","2.4","","101.70","","","","-14","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 15:00","2012","02","01","15:00","-7.0","","-9.0","","86","","","","8","","20","","2.8","","101.63","","","","-14","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 16:00","2012","02","01","16:00","-7.0","","-8.9","","86","","","","8","","24","","3.2","","101.53","","","","-15","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 17:00","2012","02","01","17:00","-6.7","","-8.4","","88","","","","9","","26","","4.8","","101.44","","","","-15","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 18:00","2012","02","01","18:00","-6.2","","-7.6","","90","","","","8","","30","","3.2","","101.35","","","","-15","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 19:00","2012","02","01","19:00","-5.7","","-7.3","","88","","","","8","","32","","4.8","","101.23","","","","-14","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 20:00","2012","02","01","20:00","-5.2","","-6.8","","88","","","","8","","32","","4.8","","101.20","","","","-13","","Snow Showers"
"-61.78","47.42","ILES DE LA MADELEINE A","705C2G9","2012-02-01 21:00","2012","02","01","21:00","-4.8","","-6.3","","89","","","","7","","33","","4.8","","101.11","","","","-13","","Snow Showers"
