"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 00:00","2018","04","01","00:00","7.9","","4.4","","79","","0.0","","28","","7","","","","101.47","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 01:00","2018","04","01","01:00","8.1","","4.2","","77","","0.0","","14","","2","","","","101.41","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 02:00","2018","04","01","02:00","8.4","","4.7","","78","","0.0","","33","","7","","","","101.31","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 03:00","2018","04","01","03:00","8.9","","3.9","","71","","0.0","","22","","21","","","","101.22","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 04:00","2018","04","01","04:00","8.9","","3.6","","70","","0.0","","18","","24","","","","101.17","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 05:00","2018","04","01","05:00","8.3","","3.2","","70","","0.0","","20","","17","","","","101.16","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 06:00","2018","04","01","06:00","8.0","","3.5","","73","","0.0","","21","","17","","","","101.08","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 07:00","2018","04","01","07:00","8.2","","3.6","","73","","0.0","","21","","18","","","","101.03","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 08:00","2018","04","01","08:00","7.9","","2.9","","71","","0.0","","21","","21","","","","100.98","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 09:00","2018","04","01","09:00","6.5","","2.4","","75","","0.2","","16","","22","","","","100.95","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 10:00","2018","04","01","10:00","7.9","","-0.9","","54","","0.0","","19","","24","","","","100.93","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 11:00","2018","04","01","11:00","8.2","","-4.2","","41","","0.0","","23","","18","","","","100.87","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 12:00","2018","04","01","12:00","8.3","","-0.9","","52","","0.0","","20","","29","","","","100.81","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 13:00","2018","04","01","13:00","7.3","","-0.8","","56","","0.0","","11","","22","","","","100.84","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 14:00","2018","04","01","14:00","7.8","","0.5","","60","","0.0","","20","","34","","","","100.76","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 15:00","2018","04","01","15:00","8.1","","-1.2","","52","","0.0","","21","","26","","","","100.70","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 16:00","2018","04","01","16:00","7.7","","0.3","","59","","0.0","","20","","31","","","","100.66","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 17:00","2018","04","01","17:00","7.1","","0.7","","64","","0.0","","22","","47","","","","100.61","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 18:00","2018","04","01","18:00","6.4","","0.8","","68","","0.0","","22","","41","","","","100.60","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 19:00","2018","04","01","19:00","6.0","","0.5","","68","","0.0","","19","","16","","","","100.69","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 20:00","2018","04","01","20:00","6.1","","0.7","","68","","0.0","","15","","15","","","","100.69","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 21:00","2018","04","01","21:00","6.3","","0.3","","65","","0.0","","18","","9","","","","100.69","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 22:00","2018","04","01","22:00","5.7","","0.9","","71","","0.0","","26","","2","","","","100.69","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-01 23:00","2018","04","01","23:00","5.6","","1.3","","74","","0.0","","2","","26","","","","100.71","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 00:00","2018","04","02","00:00","5.1","","1.2","","76","","0.0","","1","","29","","","","100.75","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 01:00","2018","04","02","01:00","4.9","","1.8","","80","","0.0","","2","","28","","","","100.80","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 02:00","2018","04","02","02:00","4.8","","1.4","","79","","0.0","","2","","32","","","","100.85","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 03:00","2018","04","02","03:00","4.7","","1.2","","78","","0.0","","2","","33","","","","100.90","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 04:00","2018","04","02","04:00","4.5","","0.8","","77","","0.0","","1","","31","","","","100.97","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 05:00","2018","04","02","05:00","4.5","","-0.6","","70","","0.0","","1","","25","","","","101.07","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 06:00","2018","04","02","06:00","4.5","","-1.0","","67","","0.0","","2","","33","","","","101.15","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 07:00","2018","04","02","07:00","4.7","","-2.1","","61","","0.0","","3","","35","","","","101.24","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 08:00","2018","04","02","08:00","4.8","","-4.0","","53","","0.0","","4","","31","","","","101.34","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 09:00","2018","04","02","09:00","5.5","","-4.7","","48","","0.0","","3","","22","","","","101.42","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 10:00","2018","04","02","10:00","6.9","","-4.6","","44","","0.0","","6","","7","","","","101.49","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 11:00","2018","04","02","11:00","7.0","","-0.8","","57","","0.0","","16","","12","","","","101.54","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 12:00","2018","04","02","12:00","7.0","","-1.1","","56","","0.0","","16","","20","","","","101.56","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 13:00","2018","04","02","13:00","8.5","","-2.2","","47","","0.0","","15","","13","","","","101.60","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 14:00","2018","04","02","14:00","7.9","","-1.1","","53","","0.0","","18","","14","","","","101.61","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 15:00","2018","04","02","15:00","8.3","","-5.5","","37","","0.0","","19","","26","","","","101.60","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 16:00","2018","04","02","16:00","8.6","","-4.7","","39","","0.0","","21","","25","","","","101.64","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 17:00","2018","04","02","17:00","8.9","","-2.1","","46","","0.0","","23","","10","","","","101.61","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 18:00","2018","04","02","18:00","8.6","","-1.3","","50","","0.0","","32","","13","","","","101.58","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 19:00","2018","04","02","19:00","8.4","","-1.3","","51","","0.0","","1","","11","","","","101.58","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 20:00","2018","04","02","20:00","8.1","","0.2","","57","","0.0","","31","","8","","","","101.59","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 21:00","2018","04","02","21:00","8.4","","0.6","","58","","0.0","","20","","17","","","","101.64","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 22:00","2018","04","02","22:00","7.9","","0.8","","61","","0.0","","19","","22","","","","101.66","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-02 23:00","2018","04","02","23:00","7.8","","1.0","","62","","0.0","","17","","18","","","","101.68","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 00:00","2018","04","03","00:00","7.7","","1.4","","64","","0.0","","16","","24","","","","101.71","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 01:00","2018","04","03","01:00","7.4","","0.9","","63","","0.0","","17","","19","","","","101.72","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 02:00","2018","04","03","02:00","6.9","","1.1","","66","","0.0","","25","","5","","","","101.72","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 03:00","2018","04","03","03:00","6.9","","0.5","","63","","0.0","","17","","10","","","","101.72","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 04:00","2018","04","03","04:00","6.9","","0.4","","64","","0.0","","17","","14","","","","101.72","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 05:00","2018","04","03","05:00","6.0","","1.3","","72","","0.0","","14","","19","","","","101.71","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 06:00","2018","04","03","06:00","5.6","","1.6","","76","","0.0","","33","","8","","","","101.72","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 07:00","2018","04","03","07:00","4.6","","2.2","","85","","0.2","","32","","15","","","","101.73","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 08:00","2018","04","03","08:00","4.5","","3.0","","90","","0.2","","32","","17","","","","101.68","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 09:00","2018","04","03","09:00","4.8","","3.1","","89","","0.0","","33","","12","","","","101.69","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 10:00","2018","04","03","10:00","5.4","","2.6","","82","","0.0","","35","","5","","","","101.67","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 11:00","2018","04","03","11:00","6.2","","3.0","","80","","0.0","","35","","6","","","","101.65","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 12:00","2018","04","03","12:00","6.4","","2.7","","77","","0.0","","16","","10","","","","101.65","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 13:00","2018","04","03","13:00","7.2","","3.0","","75","","0.0","","17","","16","","","","101.65","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 14:00","2018","04","03","14:00","6.5","","3.0","","78","","0.0","","28","","10","","","","101.60","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 15:00","2018","04","03","15:00","7.9","","2.6","","69","","0.0","","16","","13","","","","101.57","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 16:00","2018","04","03","16:00","8.0","","2.8","","70","","0.0","","15","","15","","","","101.54","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 17:00","2018","04","03","17:00","8.0","","2.5","","68","","0.0","","29","","5","","","","101.54","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 18:00","2018","04","03","18:00","7.6","","3.4","","74","","0.0","","31","","10","","","","101.53","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 19:00","2018","04","03","19:00","7.5","","4.3","","81","","0.0","","32","","9","","","","101.53","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 20:00","2018","04","03","20:00","7.1","","4.0","","81","","0.0","","32","","15","","","","101.56","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 21:00","2018","04","03","21:00","7.1","","3.0","","76","","0.0","","32","","13","","","","101.59","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 22:00","2018","04","03","22:00","7.0","","3.6","","79","","0.0","","33","","14","","","","101.60","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-03 23:00","2018","04","03","23:00","6.9","","3.6","","80","","0.0","","33","","14","","","","101.63","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 00:00","2018","04","04","00:00","6.6","","3.3","","80","","0.0","","31","","18","","","","101.65","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 01:00","2018","04","04","01:00","6.7","","3.5","","80","","0.0","","33","","14","","","","101.66","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 02:00","2018","04","04","02:00","6.7","","3.9","","82","","0.0","","2","","21","","","","101.66","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 03:00","2018","04","04","03:00","6.8","","3.1","","78","","0.0","","36","","15","","","","101.66","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 04:00","2018","04","04","04:00","6.7","","3.0","","77","","0.0","","1","","13","","","","101.67","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 05:00","2018","04","04","05:00","6.5","","3.5","","81","","0.0","","36","","23","","","","101.67","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 06:00","2018","04","04","06:00","6.4","","3.6","","82","","0.0","","1","","27","","","","101.67","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 07:00","2018","04","04","07:00","6.5","","4.0","","84","","0.0","","2","","26","","","","101.68","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 08:00","2018","04","04","08:00","6.5","","3.9","","83","","0.0","","3","","28","","","","101.70","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 09:00","2018","04","04","09:00","7.0","","3.6","","79","","0.0","","3","","22","","","","101.71","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 10:00","2018","04","04","10:00","7.5","","3.4","","76","","0.0","","3","","17","","","","101.71","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 11:00","2018","04","04","11:00","8.4","","3.3","","70","","0.0","","11","","2","","","","101.74","","","","","","NA"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2018-04-04 12:00","2018","04","04","12:00","8.2","","3.1","","70","","0.0","","16","","5","","","","101.73","","","","","","NA"
