"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 00:00","2019","02","01","00:00","-2.1","","-4.6","","83","","0.0","","10","","3","","","","92.44","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 01:00","2019","02","01","01:00","-2.3","","-4.8","","83","","0.0","","7","","3","","","","92.39","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 02:00","2019","02","01","02:00","-2.5","","-4.6","","86","","0.0","","","","0","","","","92.38","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 03:00","2019","02","01","03:00","-2.9","","-4.7","","87","","0.0","","","","0","","","","92.33","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 04:00","2019","02","01","04:00","-3.4","","-4.9","","89","","0.0","","24","","3","","","","92.26","","","","-5","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 05:00","2019","02","01","05:00","-5.0","","-6.8","","87","","0.0","","32","","2","","","","92.20","","","","-6","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 06:00","2019","02","01","06:00","-4.4","","-5.7","","91","","0.0","","","","0","","","","92.18","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 07:00","2019","02","01","07:00","-4.2","","-5.4","","92","","0.0","","10","","1","","","","92.16","","","","-5","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 08:00","2019","02","01","08:00","-4.3","","-5.5","","91","","0.0","","6","","2","","","","92.14","","","","-5","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 09:00","2019","02","01","09:00","-3.5","","-5.5","","86","","0.0","","","","0","","","","92.14","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 10:00","2019","02","01","10:00","-2.5","","-5.3","","81","","0.0","","","","0","","","","92.15","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 11:00","2019","02","01","11:00","-1.3","","-5.0","","76","","0.0","","17","","1","","","","92.14","","","","-2","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 12:00","2019","02","01","12:00","-0.7","","-5.0","","73","","0.0","","3","","7","","","","92.07","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 13:00","2019","02","01","13:00","1.3","","-5.9","","59","","0.0","","27","","2","","","","91.97","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 14:00","2019","02","01","14:00","2.0","","-4.4","","63","","0.0","","6","","4","","","","91.90","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 15:00","2019","02","01","15:00","1.5","","-3.6","","69","","0.0","","9","","8","","","","91.87","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 16:00","2019","02","01","16:00","1.0","","-3.5","","72","","0.0","","8","","10","","","","91.83","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 17:00","2019","02","01","17:00","0.8","","-3.2","","74","","0.0","","10","","8","","","","91.84","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 18:00","2019","02","01","18:00","0.1","","-3.1","","79","","0.0","","10","","6","","","","91.89","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 19:00","2019","02","01","19:00","-0.4","","-3.5","","79","","0.0","","9","","2","","","","91.91","","","","-1","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 20:00","2019","02","01","20:00","-0.4","","-3.3","","81","","0.0","","8","","4","","","","91.92","","","","-2","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 21:00","2019","02","01","21:00","-1.0","","-3.3","","85","","0.0","","27","","1","","","","91.96","","","","-1","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 22:00","2019","02","01","22:00","-1.2","","-2.3","","92","","0.2","","23","","3","","","","91.99","","","","-2","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-01 23:00","2019","02","01","23:00","-1.5","","-2.2","","95","","0.7","","5","","2","","","","91.98","","","","-2","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 00:00","2019","02","02","00:00","-3.0","","-3.7","","95","","0.0","","6","","2","","","","91.93","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 01:00","2019","02","02","01:00","-3.2","","-3.8","","96","","0.0","","27","","6","","","","91.82","","","","-6","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 02:00","2019","02","02","02:00","-2.7","","-3.5","","94","","0.0","","15","","2","","","","91.89","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 03:00","2019","02","02","03:00","-2.5","","-3.3","","94","","0.0","","26","","3","","","","91.93","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 04:00","2019","02","02","04:00","-2.5","","-3.1","","96","","0.0","","27","","3","","","","91.91","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 05:00","2019","02","02","05:00","-3.9","","-4.5","","96","","0.0","","24","","2","","","","91.87","","","","-5","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 06:00","2019","02","02","06:00","-3.8","","-4.3","","97","","0.0","","2","","1","","","","91.88","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 07:00","2019","02","02","07:00","-3.7","","-4.2","","97","","0.0","","0","","1","","","","91.90","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 08:00","2019","02","02","08:00","-3.5","","-3.9","","97","","0.0","","19","","2","","","","91.92","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 09:00","2019","02","02","09:00","-2.9","","-3.5","","96","","0.0","","2","","2","","","","91.96","","","","-4","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 10:00","2019","02","02","10:00","-2.6","","-4.1","","89","","0.0","","33","","1","","","","91.94","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 11:00","2019","02","02","11:00","-2.2","","-4.7","","83","","0.0","","33","","3","","","","91.95","","","","-3","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 12:00","2019","02","02","12:00","-0.6","","-5.1","","71","","0.0","","5","","3","","","","91.91","","","","-2","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 13:00","2019","02","02","13:00","2.2","","-4.4","","62","","0.0","","4","","4","","","","91.86","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 14:00","2019","02","02","14:00","2.0","","-2.8","","70","","0.0","","10","","4","","","","91.82","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 15:00","2019","02","02","15:00","1.2","","-5.5","","61","","0.0","","36","","24","","","","91.83","","","","","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 16:00","2019","02","02","16:00","-0.1","","-8.2","","54","","0.0","","1","","28","","","","91.88","","","","-6","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 17:00","2019","02","02","17:00","-1.2","","-10.5","","49","","0.0","","36","","22","","","","91.90","","","","-7","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 18:00","2019","02","02","18:00","-2.1","","-11.5","","49","","0.0","","1","","24","","","","91.94","","","","-8","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 19:00","2019","02","02","19:00","-2.3","","-11.6","","49","","0.0","","36","","13","","","","91.92","","","","-7","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 20:00","2019","02","02","20:00","-3.2","","-10.8","","56","","0.0","","36","","7","","","","91.88","","","","-6","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 21:00","2019","02","02","21:00","-4.3","","-11.4","","58","","0.0","","2","","16","","","","91.86","","","","-10","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 22:00","2019","02","02","22:00","-4.8","","-12.2","","56","","0.0","","2","","15","","","","91.85","","","","-10","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-02 23:00","2019","02","02","23:00","-6.0","","-13.2","","57","","0.0","","1","","19","","","","91.85","","","","-13","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 00:00","2019","02","03","00:00","-7.0","","-13.3","","60","","0.0","","1","","21","","","","91.84","","","","-14","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 01:00","2019","02","03","01:00","-7.9","","-13.8","","63","","0.0","","1","","27","","","","91.83","","","","-16","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 02:00","2019","02","03","02:00","-8.9","","-14.3","","65","","0.0","","2","","20","","","","91.83","","","","-16","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 03:00","2019","02","03","03:00","-10.1","","-14.8","","68","","0.0","","1","","25","","","","91.85","","","","-19","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 04:00","2019","02","03","04:00","-11.0","","-16.2","","65","","0.0","","1","","25","","","","91.84","","","","-20","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 05:00","2019","02","03","05:00","-11.9","","-17.3","","64","","0.0","","2","","22","","","","91.80","","","","-21","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 06:00","2019","02","03","06:00","-12.7","","-18.4","","62","","0.0","","1","","26","","","","91.85","","","","-22","","NA"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-02-03 07:00","2019","02","03","07:00","-13.5","","-19.3","","61","","0.0","","1","","17","","","","91.89","","","","-22","","NA"
