"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 00:00","2019","03","01","00:00","-2.8","","-7.4","","71","","0.0","","14","","12","","","","94.23","","","","-7","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 01:00","2019","03","01","01:00","-2.9","","-7.5","","71","","0.0","","16","","13","","","","94.25","","","","-8","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 02:00","2019","03","01","02:00","-3.2","","-7.9","","70","","0.0","","13","","7","","","","94.26","","","","-6","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 03:00","2019","03","01","03:00","-3.2","","-8.1","","69","","0.0","","11","","4","","","","94.27","","","","-5","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 04:00","2019","03","01","04:00","-3.4","","-8.1","","70","","0.0","","15","","8","","","","94.28","","","","-7","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 05:00","2019","03","01","05:00","-3.5","","-8.1","","70","","0.0","","16","","8","","","","94.29","","","","-7","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 06:00","2019","03","01","06:00","-3.7","","-8.0","","72","","0.0","","14","","4","","","","94.32","","","","-5","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 07:00","2019","03","01","07:00","-4.6","","-8.0","","77","","0.0","","31","","2","","","","94.34","","","","-5","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 08:00","2019","03","01","08:00","-3.9","","-7.7","","75","","0.0","","30","","4","","","","94.36","","","","-6","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 09:00","2019","03","01","09:00","-2.8","","-7.2","","71","","0.0","","22","","7","","","","94.37","","","","-6","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 10:00","2019","03","01","10:00","-1.4","","-6.2","","70","","0.0","","20","","9","","","","94.33","","","","-5","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 11:00","2019","03","01","11:00","0.1","","-6.8","","60","","0.0","","18","","7","","","","94.30","","","","","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 12:00","2019","03","01","12:00","1.2","","-6.9","","55","","0.0","","18","","8","","","","94.25","","","","","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 13:00","2019","03","01","13:00","1.0","","-6.6","","57","","0.0","","21","","4","","","","94.21","","","","","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 14:00","2019","03","01","14:00","0.3","","-6.2","","61","","0.0","","25","","7","","","","94.18","","","","","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 15:00","2019","03","01","15:00","0.8","","-5.6","","62","","0.0","","29","","4","","","","94.17","","","","","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 16:00","2019","03","01","16:00","-0.3","","-6.4","","63","","0.0","","30","","8","","","","94.18","","","","-3","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 17:00","2019","03","01","17:00","-0.9","","-6.5","","66","","0.0","","33","","4","","","","94.20","","","","-2","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 18:00","2019","03","01","18:00","-2.1","","-7.1","","68","","0.0","","33","","2","","","","94.23","","","","-3","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 19:00","2019","03","01","19:00","-3.1","","-7.5","","72","","0.0","","7","","10","","","","94.29","","","","-7","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 20:00","2019","03","01","20:00","-4.3","","-11.4","","58","","0.0","","5","","27","","","","94.33","","","","-12","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 21:00","2019","03","01","21:00","-6.4","","-12.0","","65","","0.0","","4","","30","","","","94.44","","","","-15","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 22:00","2019","03","01","22:00","-7.6","","-14.3","","59","","0.0","","4","","35","","","","94.61","","","","-17","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-01 23:00","2019","03","01","23:00","-8.4","","-15.6","","56","","0.0","","5","","27","","","","94.82","","","","-17","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 00:00","2019","03","02","00:00","-8.8","","-16.9","","52","","0.0","","5","","20","","","","95.01","","","","-16","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 01:00","2019","03","02","01:00","-9.5","","-17.9","","50","","0.0","","6","","18","","","","95.14","","","","-17","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 02:00","2019","03","02","02:00","-9.9","","-18.1","","51","","0.0","","5","","15","","","","95.23","","","","-17","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 03:00","2019","03","02","03:00","-10.6","","-20.1","","45","","0.0","","6","","20","","","","95.25","","","","-19","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 04:00","2019","03","02","04:00","-11.3","","-20.7","","46","","0.0","","6","","13","","","","95.30","","","","-18","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 05:00","2019","03","02","05:00","-11.8","","-21.4","","45","","0.0","","5","","16","","","","95.33","","","","-19","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 06:00","2019","03","02","06:00","-12.4","","-21.7","","46","","0.0","","7","","15","","","","95.38","","","","-20","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 07:00","2019","03","02","07:00","-13.2","","-21.8","","48","","0.0","","7","","21","","","","95.42","","","","-22","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 08:00","2019","03","02","08:00","-12.8","","-21.8","","47","","0.0","","7","","20","","","","95.47","","","","-21","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 09:00","2019","03","02","09:00","-10.5","","-21.1","","41","","0.0","","8","","6","","","","95.50","","","","-14","","NA"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2019-03-02 10:00","2019","03","02","10:00","-8.5","","-21.2","","35","","0.0","","25","","8","","","","95.47","","","","-13","","NA"
