"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 00:00","2019","04","01","00:00","1.7","","0.6","","93","","0.0","","21","","5","","","","95.93","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 01:00","2019","04","01","01:00","1.5","","0.7","","94","","0.0","","20","","5","","","","95.94","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 02:00","2019","04","01","02:00","0.2","","-0.5","","95","","0.0","","17","","2","","","","95.94","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 03:00","2019","04","01","03:00","0.8","","0.2","","96","","0.0","","18","","3","","","","95.95","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 04:00","2019","04","01","04:00","1.2","","0.6","","96","","0.0","","24","","8","","","","95.93","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 05:00","2019","04","01","05:00","0.4","","-0.2","","96","","0.0","","21","","5","","","","95.96","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 06:00","2019","04","01","06:00","0.6","","0.1","","96","","0.0","","24","","11","","","","95.97","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 07:00","2019","04","01","07:00","0.8","","0.3","","97","","0.0","","24","","9","","","","95.96","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 08:00","2019","04","01","08:00","4.8","","2.6","","86","","0.0","","22","","7","","","","95.89","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 09:00","2019","04","01","09:00","7.3","","2.0","","69","","0.0","","25","","4","","","","95.85","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 10:00","2019","04","01","10:00","10.2","","2.8","","60","","0.0","","1","","6","","","","95.78","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 11:00","2019","04","01","11:00","12.4","","2.0","","49","","0.0","","5","","10","","","","95.70","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 12:00","2019","04","01","12:00","13.1","","1.9","","47","","0.0","","3","","14","","","","95.59","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 13:00","2019","04","01","13:00","12.0","","1.1","","47","","0.0","","2","","15","","","","95.53","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 14:00","2019","04","01","14:00","16.0","","0.4","","35","","0.0","","3","","13","","","","95.42","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 15:00","2019","04","01","15:00","14.4","","-1.3","","34","","0.0","","3","","11","","","","95.36","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 16:00","2019","04","01","16:00","17.3","","-1.8","","27","","0.0","","5","","7","","","","95.29","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 17:00","2019","04","01","17:00","14.1","","-0.7","","36","","0.0","","5","","8","","","","95.27","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 18:00","2019","04","01","18:00","10.5","","-1.6","","43","","0.0","","18","","3","","","","95.29","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 19:00","2019","04","01","19:00","7.1","","-0.8","","57","","0.0","","12","","2","","","","95.32","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 20:00","2019","04","01","20:00","5.7","","-1.4","","60","","0.0","","14","","2","","","","95.36","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 21:00","2019","04","01","21:00","4.0","","-0.5","","72","","0.0","","23","","4","","","","95.39","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 22:00","2019","04","01","22:00","3.2","","-1.4","","71","","0.0","","21","","2","","","","95.41","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-01 23:00","2019","04","01","23:00","1.9","","-1.1","","80","","0.0","","22","","3","","","","95.43","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 00:00","2019","04","02","00:00","1.2","","-1.9","","80","","0.0","","0","","1","","","","95.47","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 01:00","2019","04","02","01:00","0.4","","-1.8","","85","","0.0","","21","","3","","","","95.47","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 02:00","2019","04","02","02:00","-0.5","","-2.8","","85","","0.0","","15","","2","","","","95.46","","","","-1","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 03:00","2019","04","02","03:00","-1.2","","-3.0","","87","","0.0","","15","","2","","","","95.43","","","","-2","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 04:00","2019","04","02","04:00","-1.0","","-3.0","","87","","0.0","","12","","3","","","","95.43","","","","-2","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 05:00","2019","04","02","05:00","-1.1","","-3.2","","86","","0.0","","12","","4","","","","95.43","","","","-2","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 06:00","2019","04","02","06:00","-1.4","","-2.8","","90","","0.0","","18","","1","","","","95.44","","","","-2","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 07:00","2019","04","02","07:00","0.4","","-2.0","","84","","0.0","","10","","3","","","","95.42","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 08:00","2019","04","02","08:00","5.0","","-1.0","","65","","0.0","","6","","5","","","","95.36","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 09:00","2019","04","02","09:00","7.5","","-1.8","","52","","0.0","","3","","9","","","","95.28","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 10:00","2019","04","02","10:00","10.4","","-2.5","","40","","0.0","","2","","7","","","","95.17","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 11:00","2019","04","02","11:00","12.8","","-3.8","","31","","0.0","","6","","6","","","","95.06","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 12:00","2019","04","02","12:00","13.7","","-3.8","","29","","0.0","","3","","16","","","","94.94","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 13:00","2019","04","02","13:00","14.4","","-1.9","","32","","0.0","","2","","22","","","","94.82","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 14:00","2019","04","02","14:00","16.8","","-4.0","","24","","0.0","","5","","16","","","","94.72","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 15:00","2019","04","02","15:00","17.0","","-4.0","","23","","0.0","","6","","17","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 16:00","2019","04","02","16:00","17.2","","-4.6","","22","","0.0","","6","","15","","","","94.56","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 17:00","2019","04","02","17:00","16.3","","-5.5","","22","","0.0","","3","","6","","","","94.53","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 18:00","2019","04","02","18:00","12.0","","-4.2","","32","","0.0","","12","","4","","","","94.53","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 19:00","2019","04","02","19:00","9.3","","-3.5","","40","","0.0","","14","","11","","","","94.57","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 20:00","2019","04","02","20:00","8.1","","-2.9","","46","","0.0","","5","","3","","","","94.60","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 21:00","2019","04","02","21:00","6.4","","-0.2","","63","","0.0","","4","","4","","","","94.60","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 22:00","2019","04","02","22:00","5.0","","-0.4","","68","","0.0","","4","","5","","","","94.60","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-02 23:00","2019","04","02","23:00","3.2","","-1.0","","74","","0.0","","0","","1","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 00:00","2019","04","03","00:00","3.1","","-0.9","","75","","0.0","","3","","4","","","","94.63","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 01:00","2019","04","03","01:00","3.5","","-0.6","","74","","0.0","","6","","4","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 02:00","2019","04","03","02:00","2.2","","-0.8","","81","","0.0","","21","","2","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 03:00","2019","04","03","03:00","2.4","","-0.9","","79","","0.0","","7","","2","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 04:00","2019","04","03","04:00","2.5","","-0.2","","82","","0.0","","4","","6","","","","94.62","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 05:00","2019","04","03","05:00","2.8","","0.0","","82","","0.0","","5","","4","","","","94.61","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 06:00","2019","04","03","06:00","3.3","","0.5","","82","","0.0","","4","","6","","","","94.64","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 07:00","2019","04","03","07:00","4.1","","0.5","","77","","0.0","","9","","2","","","","94.68","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 08:00","2019","04","03","08:00","5.4","","0.9","","73","","0.0","","1","","7","","","","94.69","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 09:00","2019","04","03","09:00","6.4","","-0.2","","63","","0.0","","26","","3","","","","94.72","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 10:00","2019","04","03","10:00","8.2","","-0.6","","54","","0.0","","36","","3","","","","94.76","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 11:00","2019","04","03","11:00","8.1","","1.3","","62","","0.0","","29","","17","","","","94.78","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 12:00","2019","04","03","12:00","7.8","","3.9","","76","","0.0","","28","","14","","","","94.76","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 13:00","2019","04","03","13:00","7.1","","4.2","","82","","0.3","","29","","18","","","","94.78","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 14:00","2019","04","03","14:00","6.9","","4.4","","84","","0.9","","29","","12","","","","94.77","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 15:00","2019","04","03","15:00","6.9","","4.8","","87","","0.6","","32","","2","","","","94.77","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 16:00","2019","04","03","16:00","7.4","","5.5","","87","","0.0","","2","","3","","","","94.76","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 17:00","2019","04","03","17:00","7.0","","5.3","","89","","0.0","","4","","6","","","","94.75","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 18:00","2019","04","03","18:00","6.2","","5.0","","92","","0.0","","4","","8","","","","94.74","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 19:00","2019","04","03","19:00","6.0","","5.0","","93","","0.2","","7","","4","","","","94.75","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 20:00","2019","04","03","20:00","5.9","","5.1","","94","","1.1","","17","","3","","","","94.80","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 21:00","2019","04","03","21:00","5.8","","5.0","","95","","0.0","","22","","4","","","","94.85","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 22:00","2019","04","03","22:00","5.7","","5.1","","95","","1.6","","19","","10","","","","94.85","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-03 23:00","2019","04","03","23:00","5.6","","4.9","","96","","0.4","","20","","7","","","","94.87","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 00:00","2019","04","04","00:00","5.9","","5.2","","95","","0.5","","17","","3","","","","94.94","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 01:00","2019","04","04","01:00","5.6","","5.0","","96","","0.0","","21","","9","","","","94.95","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 02:00","2019","04","04","02:00","6.0","","5.1","","94","","0.0","","26","","13","","","","95.01","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 03:00","2019","04","04","03:00","5.6","","4.9","","95","","0.0","","20","","6","","","","95.04","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 04:00","2019","04","04","04:00","5.7","","4.9","","95","","0.0","","21","","6","","","","95.09","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 05:00","2019","04","04","05:00","5.6","","4.8","","95","","0.0","","23","","9","","","","95.12","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 06:00","2019","04","04","06:00","5.9","","5.1","","95","","0.0","","27","","13","","","","95.18","","","","","","NA"
"-117.31","49.49","NELSON CS","1145M29","2019-04-04 07:00","2019","04","04","07:00","6.1","","5.0","","93","","0.0","","26","","9","","","","95.21","","","","","","NA"
