"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 00:00","2018","04","01","00:00","0.4","","-3.6","","74","","0.0","","17","","4","","","","97.52","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 01:00","2018","04","01","01:00","-0.1","","-3.9","","75","","0.0","","19","","3","","","","97.42","","","","-1","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 02:00","2018","04","01","02:00","-0.3","","-2.8","","84","","0.0","","","","0","","","","97.32","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 03:00","2018","04","01","03:00","-0.8","","-3.8","","80","","0.0","","","","0","","","","97.22","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 04:00","2018","04","01","04:00","-0.5","","-3.9","","78","","0.0","","20","","4","","","","97.14","","","","-2","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 05:00","2018","04","01","05:00","-0.6","","-2.9","","84","","0.0","","18","","3","","","","97.06","","","","-2","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 06:00","2018","04","01","06:00","-0.5","","-3.1","","82","","0.0","","23","","2","","","","96.98","","","","-1","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 07:00","2018","04","01","07:00","0.1","","-3.4","","78","","0.0","","21","","7","","","","96.94","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 08:00","2018","04","01","08:00","-0.7","","-0.9","","98","","1.0","","17","","3","","","","96.86","","","","-2","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 09:00","2018","04","01","09:00","0.2","","-0.2","","97","","0.6","","8","","2","","","","96.77","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 10:00","2018","04","01","10:00","0.4","","-0.6","","93","","0.5","","27","","2","","","","96.71","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 11:00","2018","04","01","11:00","1.4","","-0.1","","90","","0.3","","1","","1","","","","96.61","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 12:00","2018","04","01","12:00","1.7","","0.3","","91","","0.2","","32","","2","","","","96.53","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 13:00","2018","04","01","13:00","3.1","","1.2","","88","","0.0","","25","","4","","","","96.45","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 14:00","2018","04","01","14:00","2.9","","1.1","","88","","0.0","","35","","5","","","","96.38","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 15:00","2018","04","01","15:00","2.5","","0.6","","88","","0.0","","34","","6","","","","96.35","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 16:00","2018","04","01","16:00","4.1","","2.3","","88","","0.0","","31","","5","","","","96.30","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 17:00","2018","04","01","17:00","3.0","","1.4","","89","","0.0","","1","","3","","","","96.25","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 18:00","2018","04","01","18:00","2.2","","1.0","","91","","0.0","","34","","8","","","","96.22","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 19:00","2018","04","01","19:00","2.4","","1.1","","91","","0.0","","","","0","","","","96.22","","","","","","NA"
"-119.29","50.70","SALMON ARM CS","116FRMN","2018-04-01 20:00","2018","04","01","20:00","2.2","","1.2","","93","","0.0","","23","","1","","","","96.23","","","","","","NA"
