"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 00:00","2012","02","01","00:00","-4.5","","-5.4","","93","","","","28","","17","","","","83.27","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 01:00","2012","02","01","01:00","-4.6","","-5.5","","93","","","","27","","17","","","","83.23","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 02:00","2012","02","01","02:00","-5.0","","-6.0","","93","","","","26","","19","","","","83.20","","","","-11","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 03:00","2012","02","01","03:00","-5.6","","-6.5","","93","","","","26","","22","","","","83.20","","","","-13","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 04:00","2012","02","01","04:00","-5.7","","-6.7","","93","","","","27","","19","","","","83.16","","","","-12","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 05:00","2012","02","01","05:00","-5.7","","-6.7","","93","","","","27","","22","","","","83.15","","","","-13","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 06:00","2012","02","01","06:00","-5.9","","-6.9","","93","","","","26","","28","","","","83.12","","","","-14","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 07:00","2012","02","01","07:00","-5.9","","-6.9","","93","","","","26","","32","","","","83.14","","","","-14","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 08:00","2012","02","01","08:00","-6.1","","-7.1","","93","","","","26","","26","","","","83.12","","","","-14","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 09:00","2012","02","01","09:00","-6.0","","-6.9","","93","","","","25","","24","","","","83.13","","","","-13","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 10:00","2012","02","01","10:00","-5.3","","-6.5","","91","","","","26","","20","","","","83.15","","","","-12","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 11:00","2012","02","01","11:00","-4.7","","-6.1","","90","","","","26","","20","","","","83.18","","","","-11","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 12:00","2012","02","01","12:00","-3.8","","-5.5","","88","","","","26","","20","","","","83.20","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 13:00","2012","02","01","13:00","-3.2","","-5.3","","85","","","","25","","24","","","","83.19","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 14:00","2012","02","01","14:00","-3.4","","-5.1","","88","","","","26","","22","","","","83.18","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 15:00","2012","02","01","15:00","-3.5","","-5.0","","89","","","","26","","22","","","","83.23","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 16:00","2012","02","01","16:00","-3.1","","-4.6","","89","","","","26","","19","","","","83.32","","","","-9","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 17:00","2012","02","01","17:00","-3.7","","-4.9","","91","","","","26","","17","","","","83.42","","","","-9","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 18:00","2012","02","01","18:00","-4.6","","-5.5","","93","","","","25","","17","","","","83.49","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 19:00","2012","02","01","19:00","-4.6","","-5.4","","94","","","","25","","15","","","","83.59","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 20:00","2012","02","01","20:00","-4.6","","-5.3","","95","","","","25","","13","","","","83.67","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 21:00","2012","02","01","21:00","-5.5","","-6.4","","93","","","","24","","15","","","","83.79","","","","-11","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 22:00","2012","02","01","22:00","-6.2","","-7.0","","94","","","","22","","7","","","","83.89","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-01 23:00","2012","02","01","23:00","-7.0","","-8.0","","93","","","","30","","2","","","","83.98","","","","-8","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 00:00","2012","02","02","00:00","-7.4","","-8.3","","93","","","","30","","2","","","","84.06","","","","-8","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 01:00","2012","02","02","01:00","-7.8","","-8.8","","93","","","","","","0","","","","84.10","","","","","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 02:00","2012","02","02","02:00","-8.1","","-9.3","","91","","","","24","","2","","","","84.18","","","","-9","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 03:00","2012","02","02","03:00","-8.2","","-9.1","","93","","","","27","","2","","","","84.25","","","","-9","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 04:00","2012","02","02","04:00","-8.3","","-9.3","","92","","","","24","","6","","","","84.32","","","","-12","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 05:00","2012","02","02","05:00","-8.7","","-9.7","","92","","","","31","","2","","","","84.37","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 06:00","2012","02","02","06:00","-11.3","","-12.8","","89","","","","7","","4","","","","84.46","","","","-14","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 07:00","2012","02","02","07:00","-12.9","","-14.7","","86","","","","8","","9","","","","84.49","","","","-18","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 08:00","2012","02","02","08:00","-14.6","","-16.6","","85","","","","7","","2","","","","84.53","","","","-16","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 09:00","2012","02","02","09:00","-15.3","","-16.9","","88","","","","7","","2","","","","84.58","","","","-17","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 10:00","2012","02","02","10:00","-15.0","","-16.3","","90","","","","5","","2","","","","84.61","","","","-16","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 11:00","2012","02","02","11:00","-14.0","","-15.3","","90","","","","6","","4","","","","84.66","","","","-17","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 12:00","2012","02","02","12:00","-4.5","","-10.9","","61","","","","26","","2","","","","84.63","","","","-5","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 13:00","2012","02","02","13:00","-3.9","","-8.2","","72","","","","22","","7","","","","84.57","","","","-7","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 14:00","2012","02","02","14:00","-4.4","","-7.5","","79","","","","24","","20","","","","84.55","","","","-11","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 15:00","2012","02","02","15:00","-4.1","","-6.7","","82","","","","24","","17","","","","84.54","","","","-10","","NA"
"-116.34","51.44","YOHO PARK","11790J1","2012-02-02 16:00","2012","02","02","16:00","-4.9","","-6.9","","86","","","","24","","20","","","","84.57","","","","-11","","NA"
