"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 00:00","2019","04","01","00:00","-2.2","","-8.4","","63","","0.0","","25","","11","","","","99.28","","","","-6","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 01:00","2019","04","01","01:00","-2.9","","-8.6","","65","","0.0","","24","","9","","","","99.20","","","","-6","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 02:00","2019","04","01","02:00","-3.8","","-8.5","","70","","0.0","","23","","9","","","","99.11","","","","-8","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 03:00","2019","04","01","03:00","-3.4","","-8.4","","68","","0.0","","24","","11","","","","98.99","","","","-8","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 04:00","2019","04","01","04:00","-3.9","","-8.5","","70","","0.0","","24","","9","","","","98.91","","","","-8","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 05:00","2019","04","01","05:00","-5.0","","-8.6","","76","","0.0","","25","","8","","","","98.79","","","","-9","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 06:00","2019","04","01","06:00","-5.2","","-8.6","","77","","0.0","","25","","11","","","","98.68","","","","-10","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 07:00","2019","04","01","07:00","-4.2","","-8.3","","73","","0.0","","24","","13","","","","98.54","","","","-9","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 08:00","2019","04","01","08:00","-2.4","","-8.0","","66","","0.0","","24","","13","","","","98.44","","","","-7","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 09:00","2019","04","01","09:00","1.1","","-7.8","","51","","0.0","","23","","18","","","","98.26","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 10:00","2019","04","01","10:00","2.3","","-6.9","","51","","0.0","","25","","16","","","","98.15","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 11:00","2019","04","01","11:00","-0.2","","-2.3","","86","","0.0","","27","","15","","","","98.12","","","","-5","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 12:00","2019","04","01","12:00","1.2","","-0.8","","87","","0.5","","28","","17","","","","98.07","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 13:00","2019","04","01","13:00","3.3","","-2.0","","68","","0.0","","29","","15","","","","98.02","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 14:00","2019","04","01","14:00","4.5","","-4.4","","52","","0.0","","29","","13","","","","97.97","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 15:00","2019","04","01","15:00","5.7","","-4.5","","48","","0.0","","27","","17","","","","97.92","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 16:00","2019","04","01","16:00","4.7","","-5.0","","49","","0.0","","25","","12","","","","97.84","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 17:00","2019","04","01","17:00","3.9","","-5.1","","52","","0.0","","26","","13","","","","97.83","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 18:00","2019","04","01","18:00","1.5","","-1.2","","82","","0.0","","26","","9","","","","97.79","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 19:00","2019","04","01","19:00","1.2","","-1.5","","82","","0.0","","30","","11","","","","97.80","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 20:00","2019","04","01","20:00","0.3","","-2.2","","84","","0.0","","30","","8","","","","97.84","","","","","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 21:00","2019","04","01","21:00","-1.7","","-3.7","","87","","0.0","","29","","7","","","","97.85","","","","-4","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 22:00","2019","04","01","22:00","-1.8","","-3.3","","90","","0.3","","30","","7","","","","97.83","","","","-4","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-01 23:00","2019","04","01","23:00","-1.9","","-4.3","","84","","0.0","","32","","9","","","","97.85","","","","-5","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 00:00","2019","04","02","00:00","-3.1","","-5.7","","83","","0.0","","32","","7","","","","97.85","","","","-6","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 01:00","2019","04","02","01:00","-4.1","","-6.7","","82","","0.0","","32","","8","","","","97.89","","","","-8","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 02:00","2019","04","02","02:00","-3.8","","-7.9","","73","","0.0","","30","","12","","","","97.89","","","","-8","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 03:00","2019","04","02","03:00","-3.9","","-7.9","","74","","0.0","","31","","14","","","","97.93","","","","-9","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 04:00","2019","04","02","04:00","-4.6","","-9.4","","69","","0.0","","31","","12","","","","97.90","","","","-9","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 05:00","2019","04","02","05:00","-5.4","","-9.5","","73","","0.0","","33","","14","","","","97.96","","","","-11","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 06:00","2019","04","02","06:00","-7.2","","-13.2","","62","","0.0","","32","","14","","","","98.04","","","","-13","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 07:00","2019","04","02","07:00","-6.9","","-13.6","","59","","0.0","","32","","14","","","","98.06","","","","-13","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 08:00","2019","04","02","08:00","-6.4","","-14.4","","53","","0.0","","33","","16","","","","98.08","","","","-13","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 09:00","2019","04","02","09:00","-6.0","","-13.6","","55","","0.0","","33","","17","","","","98.13","","","","-12","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 10:00","2019","04","02","10:00","-5.6","","-12.4","","59","","0.0","","31","","15","","","","98.15","","","","-11","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 11:00","2019","04","02","11:00","-3.6","","-13.6","","46","","0.0","","31","","17","","","","98.15","","","","-9","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 12:00","2019","04","02","12:00","-4.5","","-11.2","","60","","0.0","","31","","19","","","","98.14","","","","-11","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 13:00","2019","04","02","13:00","-4.2","","-13.5","","48","","0.0","","32","","15","","","","98.12","","","","-10","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 14:00","2019","04","02","14:00","-2.2","","-11.9","","47","","0.0","","29","","15","","","","98.12","","","","-7","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 15:00","2019","04","02","15:00","-4.8","","-9.4","","70","","0.0","","30","","21","","","","98.16","","","","-11","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 16:00","2019","04","02","16:00","-4.1","","-11.0","","59","","0.0","","32","","19","","","","98.21","","","","-10","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 17:00","2019","04","02","17:00","-4.6","","-14.9","","44","","0.0","","32","","17","","","","98.23","","","","-10","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 18:00","2019","04","02","18:00","-4.8","","-14.1","","48","","0.0","","32","","14","","","","98.28","","","","-10","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 19:00","2019","04","02","19:00","-6.1","","-14.3","","52","","0.0","","32","","12","","","","98.31","","","","-11","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 20:00","2019","04","02","20:00","-7.5","","-14.3","","58","","0.0","","31","","10","","","","98.40","","","","-12","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 21:00","2019","04","02","21:00","-8.3","","-14.1","","63","","0.0","","31","","7","","","","98.49","","","","-12","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 22:00","2019","04","02","22:00","-10.3","","-14.2","","73","","0.0","","31","","6","","","","98.56","","","","-14","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-02 23:00","2019","04","02","23:00","-12.1","","-14.9","","80","","0.0","","30","","6","","","","98.62","","","","-16","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 00:00","2019","04","03","00:00","-12.8","","-14.8","","85","","0.0","","31","","9","","","","98.69","","","","-18","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 01:00","2019","04","03","01:00","-12.4","","-15.3","","79","","0.0","","31","","6","","","","98.81","","","","-16","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 02:00","2019","04","03","02:00","-14.1","","-16.1","","85","","0.0","","31","","6","","","","98.87","","","","-18","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 03:00","2019","04","03","03:00","-14.9","","-16.6","","87","","0.0","","31","","7","","","","98.91","","","","-20","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 04:00","2019","04","03","04:00","-15.2","","-16.7","","88","","0.0","","30","","7","","","","98.96","","","","-20","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 05:00","2019","04","03","05:00","-15.1","","-16.7","","87","","0.0","","29","","8","","","","99.09","","","","-20","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 06:00","2019","04","03","06:00","-14.4","","-16.4","","84","","0.0","","30","","7","","","","99.18","","","","-19","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 07:00","2019","04","03","07:00","-12.8","","-15.8","","78","","0.0","","31","","8","","","","99.27","","","","-18","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 08:00","2019","04","03","08:00","-10.2","","-16.2","","61","","0.0","","32","","8","","","","99.34","","","","-15","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 09:00","2019","04","03","09:00","-8.4","","-17.1","","49","","0.0","","32","","13","","","","99.40","","","","-14","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 10:00","2019","04","03","10:00","-6.6","","-17.4","","42","","0.0","","31","","12","","","","99.46","","","","-12","","NA"
"-99.27","53.19","GRAND RAPIDS (AUT)","5031A10","2019-04-03 11:00","2019","04","03","11:00","-5.6","","-17.4","","39","","0.0","","31","","11","","","","99.50","","","","-10","","NA"
