"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 00:00","2019","04","01","00:00","-3.3","","-8.6","","67","","","M","33","","35","","","","99.66","","","","-11","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 01:00","2019","04","01","01:00","-3.4","","-9.9","","61","","","M","34","","29","","","","99.72","","","","-11","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 02:00","2019","04","01","02:00","-4.0","","-8.7","","70","","","M","31","","28","","","","99.76","","","","-11","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 03:00","2019","04","01","03:00","-4.2","","-8.7","","71","","","M","32","","31","","","","99.80","","","","-12","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 04:00","2019","04","01","04:00","-4.4","","-8.5","","73","","","M","31","","26","","","","99.84","","","","-12","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 05:00","2019","04","01","05:00","-3.9","","-8.0","","73","","","M","30","","24","","","","99.87","","","","-11","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 06:00","2019","04","01","06:00","-4.2","","-7.8","","76","","","M","30","","26","","","","99.91","","","","-11","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 07:00","2019","04","01","07:00"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 08:00","2019","04","01","08:00","-3.0","","-5.9","","81","","","M","30","","23","","","","100.01","","","","-9","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 09:00","2019","04","01","09:00","-2.2","","-5.0","","81","","","M","29","","22","","","","100.05","","","","-8","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 10:00","2019","04","01","10:00","-1.1","","-4.5","","78","","","M","29","","23","","","","100.09","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 11:00","2019","04","01","11:00","-0.7","","-4.8","","74","","","M","27","","25","","","","100.09","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 12:00","2019","04","01","12:00","-2.1","","-4.4","","84","","","M","27","","26","","","","100.08","","","","-9","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 13:00","2019","04","01","13:00","-0.1","","-5.5","","67","","","M","26","","24","","","","100.05","","","","-6","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 14:00","2019","04","01","14:00","-0.4","","-6.1","","65","","","M","26","","34","","","","100.00","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 15:00","2019","04","01","15:00","-0.4","","-5.9","","66","","","M","26","","26","","","","99.98","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 16:00","2019","04","01","16:00","-0.5","","-7.1","","61","","","M","26","","24","","","","99.96","","","","-6","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 17:00","2019","04","01","17:00","-0.7","","-7.2","","61","","","M","25","","19","","","","99.93","","","","-6","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 18:00","2019","04","01","18:00","-1.1","","-7.2","","63","","","M","23","","27","","","","99.92","","","","-8","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 19:00","2019","04","01","19:00","-1.3","","-7.5","","63","","","M","22","","22","","","","99.88","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 20:00","2019","04","01","20:00","-0.9","","-7.5","","61","","","M","19","","18","","","","99.86","","","","-6","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 21:00","2019","04","01","21:00","-0.9","","-6.4","","66","","","M","17","","25","","","","99.82","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 22:00","2019","04","01","22:00","-0.6","","-5.4","","70","","","M","18","","31","","","","99.78","","","","-7","","NA"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2019-04-01 23:00","2019","04","01","23:00","-0.6","","-4.1","","77","","","M","19","","32","","","","99.75","","","","-7","","NA"
