"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 00:00","2019","03","01","00:00","-4.6","","-5.5","","94","","0.0","","","","0","","","","101.24","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 01:00","2019","03","01","01:00","-5.0","","-5.8","","95","","0.0","","32","","2","","","","101.28","","","","-6","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 02:00","2019","03","01","02:00","-5.7","","-6.4","","95","","0.0","","","","0","","","","101.30","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 03:00","2019","03","01","03:00","-5.2","","-5.9","","95","","0.0","","32","","3","","","","101.29","","","","-7","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 04:00","2019","03","01","04:00","-6.2","","-6.9","","95","","0.0","","32","","3","","","","101.31","","","","-8","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 05:00","2019","03","01","05:00","-6.4","","-7.1","","95","","0.0","","31","","5","","","","101.32","","","","-9","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 06:00","2019","03","01","06:00","-6.3","","-7.1","","94","","0.0","","32","","3","","","","101.32","","","","-8","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 07:00","2019","03","01","07:00","-7.6","","-8.5","","93","","0.0","","","","0","","","","101.35","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 08:00","2019","03","01","08:00","-5.2","","-5.7","","96","","0.0","","33","","5","","","","101.37","","","","-7","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 09:00","2019","03","01","09:00","-1.9","","-3.7","","88","","0.0","","","","0","","","","101.37","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 10:00","2019","03","01","10:00","0.4","","-2.6","","80","","0.0","","12","","3","","","","101.37","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 11:00","2019","03","01","11:00","2.5","","-2.8","","68","","0.0","","0","","1","","","","101.35","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 12:00","2019","03","01","12:00","4.6","","-3.9","","54","","0.0","","7","","2","","","","101.30","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 13:00","2019","03","01","13:00","6.1","","-3.7","","49","","0.0","","3","","3","","","","101.25","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 14:00","2019","03","01","14:00","7.1","","-5.9","","39","","0.0","","24","","4","","","","101.17","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 15:00","2019","03","01","15:00","8.5","","-4.4","","40","","0.0","","14","","6","","","","101.14","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 16:00","2019","03","01","16:00","8.0","","-4.8","","40","","0.0","","15","","9","","","","101.13","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 17:00","2019","03","01","17:00","7.5","","-4.5","","43","","0.0","","18","","6","","","","101.13","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 18:00","2019","03","01","18:00","2.4","","-4.2","","61","","0.0","","24","","2","","","","101.15","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 19:00","2019","03","01","19:00","-0.7","","-3.9","","79","","0.0","","31","","3","","","","101.19","","","","-2","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 20:00","2019","03","01","20:00","-2.0","","-4.1","","86","","0.0","","","","0","","","","101.23","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 21:00","2019","03","01","21:00","-2.5","","-3.8","","91","","0.0","","31","","2","","","","101.26","","","","-3","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 22:00","2019","03","01","22:00","-2.8","","-4.0","","92","","0.0","","31","","3","","","","101.31","","","","-4","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-01 23:00","2019","03","01","23:00","-3.9","","-4.9","","93","","0.0","","31","","1","","","","101.34","","","","-4","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 00:00","2019","03","02","00:00","-3.8","","-4.5","","95","","0.0","","32","","2","","","","101.35","","","","-5","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 01:00","2019","03","02","01:00","-4.7","","-5.5","","95","","0.0","","32","","1","","","","101.36","","","","-5","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 02:00","2019","03","02","02:00","-5.5","","-6.2","","95","","0.0","","32","","4","","","","101.38","","","","-7","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 03:00","2019","03","02","03:00","-5.9","","-6.6","","95","","0.0","","","","0","","","","101.39","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 04:00","2019","03","02","04:00","-5.9","","-6.6","","95","","0.0","","32","","3","","","","101.39","","","","-7","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 05:00","2019","03","02","05:00","-6.8","","-7.7","","94","","0.0","","0","","1","","","","101.40","","","","-7","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 06:00","2019","03","02","06:00","-7.0","","-7.8","","94","","0.0","","32","","1","","","","101.41","","","","-8","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 07:00","2019","03","02","07:00","-7.4","","-8.2","","94","","0.0","","","","0","","","","101.43","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 08:00","2019","03","02","08:00","-5.2","","-6.1","","93","","0.0","","32","","1","","","","101.45","","","","-6","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 09:00","2019","03","02","09:00","-2.2","","-3.9","","88","","0.0","","","","0","","","","101.48","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 10:00","2019","03","02","10:00","1.3","","-2.7","","75","","0.0","","","","0","","","","101.46","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 11:00","2019","03","02","11:00","3.6","","-1.8","","68","","0.0","","","","0","","","","101.43","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 12:00","2019","03","02","12:00","5.9","","-4.1","","49","","0.0","","2","","2","","","","101.37","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 13:00","2019","03","02","13:00","7.4","","-4.8","","41","","0.0","","18","","3","","","","101.29","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 14:00","2019","03","02","14:00","8.7","","-4.7","","38","","0.0","","17","","2","","","","101.23","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 15:00","2019","03","02","15:00","9.2","","-5.3","","35","","0.0","","16","","9","","","","101.21","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 16:00","2019","03","02","16:00","9.2","","-5.1","","36","","0.0","","15","","12","","","","101.21","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 17:00","2019","03","02","17:00","7.5","","-4.6","","42","","0.0","","16","","6","","","","101.22","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 18:00","2019","03","02","18:00","5.4","","-4.2","","50","","0.0","","25","","7","","","","101.26","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 19:00","2019","03","02","19:00","2.9","","-4.0","","61","","0.0","","21","","3","","","","101.34","","","","","","NA"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2019-03-02 20:00","2019","03","02","20:00","1.5","","-3.3","","71","","0.0","","0","","1","","","","101.39","","","","","","NA"
