"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 00:00","2019","03","01","00:00","-15.0","","-16.4","","89","","0.0","","0","","1","","","","93.82","","","","-16","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 01:00","2019","03","01","01:00","-14.6","","-15.7","","91","","0.0","","23","","1","","","","93.88","","","","-15","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 02:00","2019","03","01","02:00","-14.2","","-15.4","","91","","0.0","","0","","1","","","","93.92","","","","-15","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 03:00","2019","03","01","03:00","-13.5","","-14.5","","93","","0.0","","26","","1","","","","93.93","","","","-14","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 04:00","2019","03","01","04:00","-14.2","","-15.5","","90","","0.0","","","","0","","","","93.97","","","","","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 05:00","2019","03","01","05:00","-13.8","","-15.1","","90","","0.0","","0","","1","","","","94.00","","","","-14","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 06:00","2019","03","01","06:00","-15.0","","-16.3","","89","","0.0","","","","0","","","","94.04","","","","","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 07:00","2019","03","01","07:00","-15.1","","-16.3","","90","","0.0","","18","","2","","","","94.08","","","","-17","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 08:00","2019","03","01","08:00","-13.1","","-14.1","","92","","0.0","","18","","1","","","","94.09","","","","-14","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 09:00","2019","03","01","09:00","-12.7","","-14.0","","90","","0.0","","12","","4","","","","94.07","","","","-15","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 10:00","2019","03","01","10:00","-5.5","","-19.4","","32","","0.0","","3","","22","","","","94.03","","","","-13","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 11:00","2019","03","01","11:00","-3.9","","-18.8","","30","","0.0","","2","","21","","","","94.03","","","","-10","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 12:00","2019","03","01","12:00","-3.0","","-19.0","","28","","0.0","","2","","20","","","","94.03","","","","-9","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 13:00","2019","03","01","13:00","-2.7","","-20.2","","25","","0.0","","2","","19","","","","94.00","","","","-8","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 14:00","2019","03","01","14:00","-2.6","","-19.7","","26","","0.0","","2","","18","","","","94.00","","","","-8","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 15:00","2019","03","01","15:00","-2.9","","-20.8","","24","","0.0","","1","","20","","","","94.01","","","","-9","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 16:00","2019","03","01","16:00","-3.5","","-20.9","","25","","0.0","","1","","19","","","","94.06","","","","-9","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 17:00","2019","03","01","17:00","-5.1","","-21.1","","27","","0.0","","2","","17","","","","94.13","","","","-11","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 18:00","2019","03","01","18:00","-6.6","","-21.0","","31","","0.0","","3","","17","","","","94.19","","","","-13","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 19:00","2019","03","01","19:00","-7.6","","-21.4","","32","","0.0","","2","","16","","","","94.28","","","","-14","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 20:00","2019","03","01","20:00","-8.5","","-22.0","","33","","0.0","","2","","18","","","","94.36","","","","-16","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 21:00","2019","03","01","21:00","-9.6","","-22.7","","33","","0.0","","3","","17","","","","94.43","","","","-17","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 22:00","2019","03","01","22:00","-10.3","","-23.3","","34","","0.0","","2","","19","","","","94.51","","","","-18","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-01 23:00","2019","03","01","23:00","-10.7","","-24.1","","32","","0.0","","2","","20","","","","94.55","","","","-19","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-02 00:00","2019","03","02","00:00","-11.5","","-24.1","","35","","0.0","","1","","20","","","","94.61","","","","-20","","NA"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-03-02 01:00","2019","03","02","01:00","-12.5","","-23.9","","38","","0.0","","1","","19","","","","94.66","","","","-21","","NA"
