"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 00:00","2019","03","01","00:00","-19.3","","-23.9","","67","","0.0","","32","","22","","","","93.51","","","","-30","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 01:00","2019","03","01","01:00","-19.3","","-23.9","","67","","0.0","","32","","21","","","","93.57","","","","-30","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 02:00","2019","03","01","02:00","-19.2","","-23.8","","67","","0.0","","32","","21","","","","93.58","","","","-30","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 03:00","2019","03","01","03:00","-18.9","","-23.2","","69","","0.0","","31","","23","","","","93.63","","","","-30","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 04:00","2019","03","01","04:00","-19.0","","-22.9","","71","","0.0","","31","","19","","","","93.67","","","","-29","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 05:00","2019","03","01","05:00","-19.2","","-22.9","","72","","0.0","","30","","17","","","","93.71","","","","-29","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 06:00","2019","03","01","06:00","-19.6","","-23.3","","72","","0.0","","30","","18","","","","93.74","","","","-29","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 07:00","2019","03","01","07:00","-19.2","","-23.3","","70","","0.0","","31","","22","","","","93.77","","","","-30","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 08:00","2019","03","01","08:00","-18.2","","-23.1","","65","","0.0","","31","","23","","","","93.81","","","","-29","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 09:00","2019","03","01","09:00","-16.5","","-22.1","","62","","0.0","","30","","24","","","","93.85","","","","-27","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 10:00","2019","03","01","10:00","-15.1","","-20.8","","61","","0.0","","31","","22","","","","93.86","","","","-25","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 11:00","2019","03","01","11:00","-13.5","","-20.0","","58","","0.0","","30","","20","","","","93.87","","","","-22","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 12:00","2019","03","01","12:00","-12.3","","-18.7","","59","","0.0","","31","","22","","","","93.83","","","","-21","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 13:00","2019","03","01","13:00","-11.1","","-18.5","","54","","0.0","","30","","20","","","","93.86","","","","-19","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 14:00","2019","03","01","14:00","-11.4","","-19.1","","53","","0.0","","30","","22","","","","93.90","","","","-20","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 15:00","2019","03","01","15:00","-12.4","","-19.5","","56","","0.0","","30","","24","","","","93.96","","","","-22","","NA"
"-63.28","51.87","LAC EON","704C64L","2019-03-01 16:00","2019","03","01","16:00","-12.4","","-19.4","","56","","0.0","","30","","21","","","","94.03","","","","-21","","NA"
