"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 00:00","2019","02","01","00:00","-23.2","","-26.6","","73","","0.0","","16","","15","","","","98.37","","","","-33","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 01:00","2019","02","01","01:00","-22.4","","-25.8","","73","","0.0","","16","","16","","","","98.36","","","","-32","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 02:00","2019","02","01","02:00","-21.9","","-25.3","","74","","0.0","","16","","15","","","","98.28","","","","-31","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 03:00","2019","02","01","03:00","-21.3","","-24.6","","75","","0.0","","16","","17","","","","98.25","","","","-31","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 04:00","2019","02","01","04:00","-20.7","","-23.9","","75","","0.0","","17","","13","","","","98.26","","","","-29","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 05:00","2019","02","01","05:00","-19.9","","-23.0","","76","","0.0","","17","","13","","","","98.25","","","","-28","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 06:00","2019","02","01","06:00","-19.1","","-22.1","","77","","0.0","","16","","12","","","","98.18","","","","-27","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 07:00","2019","02","01","07:00","-18.6","","-21.5","","78","","0.0","","16","","13","","","","98.11","","","","-27","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 08:00","2019","02","01","08:00","-18.3","","-21.3","","77","","0.0","","16","","11","","","","98.09","","","","-26","","NA"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2019-02-01 09:00","2019","02","01","09:00","-17.9","","-20.9","","77","","0.0","","15","","8","","","","98.13","","","","-24","","NA"
