"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 00:00","2018","03","01","00:00","0.3","","-1.2","","89","","","M","5","","5","","","","99.22","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 01:00","2018","03","01","01:00","-0.2","","-1.6","","90","","","M","2","","8","","","","99.26","","","","-3","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 02:00","2018","03","01","02:00","-0.3","","-1.7","","90","","","M","5","","5","","","","99.32","","","","-2","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 03:00","2018","03","01","03:00","-0.8","","-2.1","","90","","","M","7","","7","","","","99.32","","","","-3","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 04:00","2018","03","01","04:00","-0.7","","-2.2","","90","","","M","7","","11","","","","99.34","","","","-4","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 05:00","2018","03","01","05:00","-0.8","","-2.2","","90","","","M","7","","13","","","","99.32","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 06:00","2018","03","01","06:00","-1.4","","-2.6","","92","","","M","7","","11","","","","99.31","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 07:00","2018","03","01","07:00","-1.3","","-2.4","","92","","","M","9","","11","","","","99.37","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 08:00","2018","03","01","08:00","-0.7","","-2.2","","89","","","M","8","","10","","","","99.45","","","","-4","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 09:00","2018","03","01","09:00","-0.9","","-2.6","","88","","","M","8","","14","","","","99.47","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 10:00","2018","03","01","10:00","-0.2","","-2.9","","82","","","M","8","","18","","","","99.43","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 11:00","2018","03","01","11:00","0.4","","-3.6","","74","","","M","7","","23","","","","99.38","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 12:00","2018","03","01","12:00","0.5","","-4.0","","72","","","M","8","","15","","","","99.42","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 13:00","2018","03","01","13:00","1.2","","-3.9","","69","","","M","8","","19","","","","99.34","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 14:00","2018","03","01","14:00","2.4","","-4.9","","59","","","M","5","","10","","","","99.28","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 15:00","2018","03","01","15:00","2.4","","-4.9","","59","","","M","3","","11","","","","99.22","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 16:00","2018","03","01","16:00","2.2","","-5.2","","58","","","M","4","","10","","","","99.17","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 17:00","2018","03","01","17:00","0.6","","-5.7","","63","","","M","2","","15","","","","99.20","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 18:00","2018","03","01","18:00","-0.6","","-6.0","","67","","","M","3","","14","","","","99.26","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 19:00","2018","03","01","19:00","-1.0","","-6.2","","68","","","M","3","","14","","","","99.32","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 20:00","2018","03","01","20:00","-1.2","","-6.3","","68","","","M","3","","13","","","","99.35","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 21:00","2018","03","01","21:00","-1.2","","-6.5","","67","","","M","3","","11","","","","99.38","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 22:00","2018","03","01","22:00","-1.2","","-6.9","","65","","","M","2","","15","","","","99.42","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-01 23:00","2018","03","01","23:00","-1.1","","-7.4","","62","","","M","1","","16","","","","99.45","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 00:00","2018","03","02","00:00","-1.0","","-8.1","","58","","","M","2","","19","","","","99.45","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 01:00","2018","03","02","01:00","-1.1","","-8.6","","57","","","M","1","","17","","","","99.49","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 02:00","2018","03","02","02:00","-1.3","","-9.0","","56","","","M","1","","13","","","","99.52","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 03:00","2018","03","02","03:00","-1.6","","-9.1","","56","","","M","36","","12","","","","99.56","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 04:00","2018","03","02","04:00","-1.9","","-9.2","","57","","","M","34","","12","","","","99.61","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 05:00","2018","03","02","05:00","-2.4","","-9.3","","59","","","M","34","","14","","","","99.70","","","","-7","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 06:00","2018","03","02","06:00","-2.8","","-9.8","","59","","","M","36","","12","","","","99.82","","","","-7","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 07:00","2018","03","02","07:00","-3.3","","-9.9","","60","","","M","36","","9","","","","99.94","","","","-7","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 08:00","2018","03","02","08:00","-3.2","","-9.8","","60","","","M","21","","3","","","","100.03","","","","-4","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 09:00","2018","03","02","09:00","-2.2","","-10.0","","55","","","M","31","","9","","","","100.07","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 10:00","2018","03","02","10:00","-1.2","","-10.3","","50","","","M","35","","14","","","","100.12","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 11:00","2018","03","02","11:00","-0.4","","-10.3","","47","","","M","1","","16","","","","100.13","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 12:00","2018","03","02","12:00","0.1","","-10.5","","45","","","M","1","","16","","","","100.18","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 13:00","2018","03","02","13:00","1.5","","-10.6","","40","","","M","35","","12","","","","100.19","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 14:00","2018","03","02","14:00","1.8","","-12.4","","34","","","M","35","","13","","","","100.20","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 15:00","2018","03","02","15:00","2.8","","-12.8","","31","","","M","33","","20","","","","100.23","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 16:00","2018","03","02","16:00","3.2","","-13.6","","28","","","M","34","","13","","","","100.28","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 17:00","2018","03","02","17:00","3.0","","-13.6","","28","","","M","35","","15","","","","100.35","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 18:00","2018","03","02","18:00","1.9","","-14.8","","28","","","M","36","","13","","","","100.44","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 19:00","2018","03","02","19:00","0.7","","-14.4","","31","","","M","36","","12","","","","100.49","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 20:00","2018","03","02","20:00","-0.3","","-14.2","","34","","","M","36","","15","","","","100.57","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 21:00","2018","03","02","21:00","-1.1","","-13.2","","39","","","M","1","","13","","","","100.63","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 22:00","2018","03","02","22:00","-1.7","","-13.0","","42","","","M","36","","13","","","","100.68","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-02 23:00","2018","03","02","23:00","-2.5","","-12.9","","44","","","M","36","","11","","","","100.74","","","","-7","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 00:00","2018","03","03","00:00","-3.1","","-13.0","","46","","","M","36","","16","","","","100.78","","","","-8","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 01:00","2018","03","03","01:00","-3.9","","-12.8","","50","","","M","35","","14","","","","100.83","","","","-9","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 02:00","2018","03","03","02:00","-4.5","","-12.5","","54","","","M","36","","14","","","","100.88","","","","-10","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 03:00","2018","03","03","03:00","-5.3","","-12.5","","57","","","M","35","","8","","","","100.92","","","","-9","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 04:00","2018","03","03","04:00","-5.8","","-12.7","","58","","","M","1","","13","","","","100.92","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 05:00","2018","03","03","05:00","-6.5","","-12.7","","61","","","M","35","","9","","","","100.98","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 06:00","2018","03","03","06:00","-7.1","","-12.6","","65","","","M","36","","7","","","","101.05","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 07:00","2018","03","03","07:00","-7.5","","-13.0","","65","","","M","34","","7","","","","101.08","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 08:00","2018","03","03","08:00","-6.7","","-12.8","","62","","","M","1","","8","","","","101.14","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 09:00","2018","03","03","09:00","-5.8","","-12.7","","58","","","M","35","","13","","","","101.19","","","","-11","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 10:00","2018","03","03","10:00","-4.2","","-12.1","","54","","","M","34","","15","","","","101.22","","","","-10","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 11:00","2018","03","03","11:00","-2.5","","-11.7","","50","","","M","35","","10","","","","101.21","","","","-6","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 12:00","2018","03","03","12:00","-0.8","","-11.9","","43","","","M","1","","12","","","","101.19","","","","-5","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 13:00","2018","03","03","13:00","0.2","","-13.0","","36","","","M","34","","11","","","","101.14","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 14:00","2018","03","03","14:00","1.0","","-15.2","","28","","","M","35","","19","","","","101.05","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 15:00","2018","03","03","15:00","1.7","","-14.2","","30","","","M","32","","18","","","","101.03","","","","","","NA"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2018-03-03 16:00","2018","03","03","16:00","2.8","","-15.4","","25","","","M","34","","16","","","","101.00","","","","","","NA"
