"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 00:00","2018","03","01","00:00","0.2","","-0.4","","96","","","M","13","","7","","","","99.24","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 01:00","2018","03","01","01:00","-0.5","","-1.1","","96","","","M","14","","6","","","","99.25","","","","-3","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 02:00","2018","03","01","02:00","-0.2","","-0.6","","97","","","M","13","","8","","","","99.28","","","","-3","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 03:00","2018","03","01","03:00","0.8","","-0.7","","89","","","M","12","","14","","","","99.30","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 04:00","2018","03","01","04:00","0.6","","-0.6","","91","","","M","11","","17","","","","99.30","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 05:00","2018","03","01","05:00","0.1","","-1.3","","90","","","M","12","","19","","","","99.26","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 06:00","2018","03","01","06:00","-0.2","","-1.2","","92","","","M","12","","20","","","","99.28","","","","-5","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 07:00","2018","03","01","07:00","-0.1","","-1.7","","89","","","M","12","","25","","","","99.33","","","","-6","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 08:00","2018","03","01","08:00","-0.1","","-1.8","","88","","","M","12","","26","","","","99.38","","","","-6","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 09:00","2018","03","01","09:00","0.2","","-1.9","","86","","","M","12","","25","","","","99.39","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 10:00","2018","03","01","10:00","-0.3","","-1.3","","93","","","M","11","","30","","","","99.36","","","","-7","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 11:00","2018","03","01","11:00","-0.8","","-1.7","","94","","","M","10","","32","","","","99.33","","","","-8","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 12:00","2018","03","01","12:00","-0.8","","-2.0","","92","","","M","10","","30","","","","99.36","","","","-8","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 13:00","2018","03","01","13:00","-0.4","","-2.4","","86","","","M","10","","30","","","","99.27","","","","-7","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 14:00","2018","03","01","14:00","-0.1","","-2.5","","83","","","M","10","","32","","","","99.20","","","","-7","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 15:00","2018","03","01","15:00","0.3","","-2.6","","81","","","M","9","","32","","","","99.13","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 16:00","2018","03","01","16:00","0.6","","-2.0","","83","","","M","8","","32","","","","99.08","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 17:00","2018","03","01","17:00"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 18:00","2018","03","01","18:00","0.8","","-2.0","","82","","","M","8","","30","","","","99.19","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 19:00","2018","03","01","19:00","0.4","","-2.3","","82","","","M","8","","32","","","","99.23","","","","","","NA"
"-81.73","45.33","COVE ISLAND (AUT)","61219J2","2018-03-01 20:00","2018","03","01","20:00","-0.2","","-3.2","","81","","","M","7","","38","","","","99.27","","","","-7","","NA"
