"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 00:00","2018","03","01","00:00","3.5","","0.1","","78","","","M","2","","24","","","","99.01","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 01:00","2018","03","01","01:00","2.0","","0.1","","87","","","M","3","","21","","","","99.10","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 02:00","2018","03","01","02:00","2.0","","0.2","","88","","","M","4","","17","","","","99.16","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 03:00","2018","03","01","03:00","2.0","","0.3","","89","","","M","5","","15","","","","99.11","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 04:00","2018","03","01","04:00","1.9","","-0.1","","86","","","M","4","","22","","","","99.10","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 05:00","2018","03","01","05:00","1.8","","-0.4","","85","","","M","4","","15","","","","99.19","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 06:00","2018","03","01","06:00","1.7","","-0.6","","85","","","M","4","","22","","","","99.09","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 07:00","2018","03","01","07:00","1.8","","-0.5","","85","","","M","5","","19","","","","99.10","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 08:00","2018","03","01","08:00","2.1","","-0.6","","83","","","M","6","","24","","","","99.14","","","","","","NA"
"-79.25","42.87","PORT COLBORNE (AUT)","613F606","2018-03-01 09:00","2018","03","01","09:00","2.1","","-0.5","","83","","","M","7","","24","","","","99.14","","","","","","NA"
