"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 00:00","2018","04","01","00:00","-1.5","","-4.1","","83","","","M","28","","38","","","","101.19","","","","-9","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 01:00","2018","04","01","01:00","-1.6","","-4.5","","81","","","M","29","","39","","","","101.23","","","","-9","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 02:00","2018","04","01","02:00","-1.5","","-4.1","","83","","","M","28","","29","","","","101.35","","","","-8","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 03:00","2018","04","01","03:00","-1.6","","-4.1","","83","","","M","29","","26","","","","101.35","","","","-8","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 04:00","2018","04","01","04:00","-1.2","","-3.2","","86","","","M","25","","24","","","","101.37","","","","-7","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 05:00","2018","04","01","05:00","-0.9","","-3.5","","83","","","M","24","","26","","","","101.39","","","","-7","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 06:00","2018","04","01","06:00","-1.3","","-3.7","","84","","","M","23","","9","","","","101.41","","","","-5","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 07:00","2018","04","01","07:00","-0.4","","-6.7","","62","","","M","19","","16","","","","101.36","","","","-5","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 08:00","2018","04","01","08:00","0.8","","-7.3","","54","","","M","19","","17","","","","101.36","","","","","","NA"
"-60.14","47.23","ST PAUL ISLAND (AUT)","8204909","2018-04-01 09:00","2018","04","01","09:00","1.3","","-5.8","","59","","","M","18","","18","","","","101.27","","","","","","NA"
