"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 00:00","2018","04","01","00:00","-0.2","","-7.5","","58","","0.0","","28","","5","","","","96.30","","","","-2","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 01:00","2018","04","01","01:00","-0.4","","-7.0","","61","","0.0","","27","","5","","","","96.19","","","","-2","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 02:00","2018","04","01","02:00","-0.8","","-7.2","","62","","0.0","","29","","12","","","","96.09","","","","-5","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 03:00","2018","04","01","03:00","-1.4","","-6.7","","67","","0.0","","27","","5","","","","96.00","","","","-3","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 04:00","2018","04","01","04:00","-0.5","","-6.7","","63","","0.0","","29","","9","","","","95.92","","","","-4","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 05:00","2018","04","01","05:00","-0.2","","-6.5","","62","","0.0","","29","","5","","","","95.83","","","","-2","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 06:00","2018","04","01","06:00","-0.1","","-6.0","","64","","0.0","","29","","5","","","","95.75","","","","-2","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 07:00","2018","04","01","07:00","0.7","","-5.6","","63","","0.0","","4","","2","","","","95.68","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 08:00","2018","04","01","08:00","1.2","","-6.0","","58","","0.0","","31","","4","","","","95.61","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 09:00","2018","04","01","09:00","1.8","","-4.0","","65","","0.0","","3","","3","","","","95.56","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 10:00","2018","04","01","10:00","2.4","","-4.8","","59","","0.0","","11","","5","","","","95.48","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 11:00","2018","04","01","11:00","3.6","","-4.2","","57","","0.0","","27","","5","","","","95.36","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 12:00","2018","04","01","12:00","4.6","","-4.5","","52","","0.0","","17","","1","","","","95.25","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 13:00","2018","04","01","13:00","6.9","","-2.2","","52","","0.0","","20","","6","","","","95.18","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 14:00","2018","04","01","14:00","7.3","","-2.5","","50","","0.0","","14","","18","","","","95.01","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 15:00","2018","04","01","15:00","10.3","","-6.8","","30","","0.0","","18","","12","","","","94.92","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 16:00","2018","04","01","16:00","8.3","","-7.2","","32","","0.0","","29","","13","","","","94.97","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 17:00","2018","04","01","17:00","7.2","","-10.7","","27","","0.0","","24","","10","","","","94.95","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 18:00","2018","04","01","18:00","6.4","","-9.2","","32","","0.0","","36","","4","","","","94.99","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 19:00","2018","04","01","19:00","5.4","","-9.8","","32","","0.0","","34","","12","","","","94.99","","","","","","NA"
"-119.65","49.56","SUMMERLAND CS","112G8L1","2018-04-01 20:00","2018","04","01","20:00","4.9","","-10.4","","32","","0.0","","31","","15","","","","95.03","","","","","","NA"
