"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 00:00","2019","04","01","00:00","-1.5","","-2.5","","93","","0.2","","26","","12","","","","97.48","","","","-6","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 01:00","2019","04","01","01:00","-1.4","","-2.7","","91","","0.2","","27","","11","","","","97.40","","","","-5","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 02:00","2019","04","01","02:00","-0.9","","-3.0","","86","","0.0","","27","","12","","","","97.32","","","","-5","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 03:00","2019","04","01","03:00","-1.6","","-2.7","","92","","0.0","","24","","7","","","","97.26","","","","-4","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 04:00","2019","04","01","04:00","-0.6","","-3.3","","82","","0.0","","31","","21","","","","97.23","","","","-6","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 05:00","2019","04","01","05:00","-2.7","","-8.0","","67","","0.3","","33","","12","","","","97.29","","","","-7","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 06:00","2019","04","01","06:00","-3.8","","-8.3","","71","","0.0","","32","","12","","","","97.32","","","","-8","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 07:00","2019","04","01","07:00","-3.6","","-8.1","","71","","0.0","","33","","11","","","","97.35","","","","-8","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 08:00","2019","04","01","08:00","-4.4","","-9.5","","67","","0.0","","34","","18","","","","97.37","","","","-10","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 09:00","2019","04","01","09:00","-4.9","","-9.1","","72","","0.0","","34","","18","","","","97.41","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 10:00","2019","04","01","10:00","-3.8","","-10.2","","61","","0.0","","34","","18","","","","97.40","","","","-10","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 11:00","2019","04","01","11:00","-4.7","","-8.3","","76","","0.0","","34","","16","","","","97.46","","","","-10","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 12:00","2019","04","01","12:00","-4.7","","-10.0","","67","","0.3","","33","","19","","","","97.47","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 13:00","2019","04","01","13:00","-4.3","","-12.9","","51","","0.0","","33","","24","","","","97.52","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 14:00","2019","04","01","14:00","-4.2","","-12.5","","53","","0.0","","31","","24","","","","97.51","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 15:00","2019","04","01","15:00","-3.9","","-13.3","","48","","0.0","","32","","25","","","","97.52","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 16:00","2019","04","01","16:00","-3.7","","-12.9","","49","","0.0","","33","","20","","","","97.55","","","","-10","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 17:00","2019","04","01","17:00","-5.1","","-13.0","","54","","0.0","","33","","18","","","","97.56","","","","-11","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 18:00","2019","04","01","18:00","-5.7","","-12.9","","57","","0.0","","32","","19","","","","97.61","","","","-12","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 19:00","2019","04","01","19:00","-6.9","","-12.7","","63","","0.0","","34","","20","","","","97.66","","","","-14","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 20:00","2019","04","01","20:00","-7.9","","-14.6","","58","","0.0","","34","","17","","","","97.66","","","","-15","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 21:00","2019","04","01","21:00","-8.7","","-14.5","","63","","0.0","","31","","10","","","","97.63","","","","-14","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 22:00","2019","04","01","22:00","-9.1","","-13.8","","69","","0.0","","32","","8","","","","97.61","","","","-13","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-01 23:00","2019","04","01","23:00","-9.2","","-13.1","","73","","0.0","","32","","14","","","","97.56","","","","-16","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-02 00:00","2019","04","02","00:00","-10.3","","-13.8","","75","","0.0","","35","","10","","","","97.55","","","","-16","","NA"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2019-04-02 01:00","2019","04","02","01:00","-11.3","","-16.6","","65","","0.0","","32","","15","","","","97.54","","","","-18","","NA"
